,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,5,원더풀하트,한,암,4세,53.5,30,조상범,강환민,♠지대섭,,520(-8),9999.9,3.5,"계란형큰, 망사눈,승인편자+","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
1,2,11,에스테이크,한,암,3세,52.5,31,(-1)문성혁,서인석,♠이성님,1,461(-1),1.0,1.7,"망사눈, JR러깅","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
2,3,4,신부,한,암,5세,55.5,34,김덕현,박재우,이긍열,1¼,528(8),9999.9,3.5,망사눈,"2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
3,4,12,운외창천,한,암,4세,55,33,최범현,우창구,장수영,½,484(4),9999.9,3.5,망사,"2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
4,5,10,천은짱,한,암,5세,51,28,(-3)임다빈,최봉주,조금제,¾,432(6),9999.9,3.5,"계란형큰, 망사눈","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
5,6,7,굿원더,한,암,5세,54.5,32,먼로,신삼영,♠오종환,2,510(1),9999.9,3.5,,"2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
6,7,1,천향국색,한,암,4세,53.5,30,빅투아르,구자흥,김창만,2,463(-10),9999.9,3.5,"계란형큰, 망사","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
7,8,2,러브위드미,한,암,4세,53,29,김효정,배대선,서창식,1,484(-4),9999.9,3.5,"계란형큰, 망사눈","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
8,9,9,케이엔파워,한,암,4세,53.5,30,장추열,박대흥,조경수,목,437(-7),9999.9,3.5,"계란형큰, 망사눈","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
9,10,8,대군옥,한,암,5세,55,33,임기원,구자흥,표종진,머리,469(4),9999.9,3.5,"반가지큰, 망사눈","2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
10,11,6,무쌍황후,한,암,4세,53.5,30,이현종,리카디,이기훈,1¼,454(0),9999.9,3.5,망사+,"2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
11,12,3,글로리파이터,한,암,4세,*52,26,박현우,이관호,서홍배,3,487(-26),9999.9,3.5,망사눈,"2021년 01월 22일 (금) 제10경주 서울 제 3일 흐림 다습 12% 14:40
국5등급 1300M 핸디캡 일반 R1~35 연령오픈 암"
