,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,11,백랑,한,암,3세,54.5,,문세영,이관호,강승연,,497(-1),2.9,1.5,"망사눈+,망사-","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
1,2,13,골든배지,한,암,4세,55,,김동수,강성오,♠이경희,1,450(-11),15.5,4.5,망사,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
2,3,2,쏘아라바바,한,암,3세,54.5,,이준철,김대근,현태봉,2½,429(-2),3.3,1.0,망사눈,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
3,4,9,골드스파이크,한,암,3세,54.5,,송재철,송문길,박복용,2½,484(-3),5.6,1.9,"망사, 반가지큰","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
4,5,3,어메이징퀸,한,암,4세,55,,박태종,김점오,♠이성인,목,474(2),4.7,2.2,망사,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
5,6,5,그랜드마스터,한,암,4세,55,,김옥성,김윤섭,변갑한,1¾,472(-4),78.5,25.0,망사눈,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
6,7,6,천지부사,한,암,4세,54,,(-1)문성혁,안병기,♠김기종,2,484(-1),175.2,16.7,망사눈,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
7,8,14,일여하여,한,암,6세,55,,이해동,최상식,제일사료(주),½,470(-6),299.1,48.2,망사눈,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
8,9,7,스피드댄서,한,암,4세,55,,박상우,곽영효,♠김용래,목,469(7),60.1,9.5,망사눈,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
9,10,10,천마여제,한,암,4세,55,,김귀배,서인석,천병득,목,473(12),35.5,6.9,"계란형큰+, 망사눈","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
10,11,4,선위너,한,암,5세,55,,이동국,서범석,이신근,1½,434(-1),126.5,13.1,,"2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
11,12,8,이스트트로스,한,암,3세,54.5,,이용호,서인석,김영구,¾,500(12),24.1,2.9,"계란형큰, 눈가면","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
12,13,12,케이블레이드,한,암,3세,54.5,,우에다,토니,♠김형란,4,471(-6),74.8,20.3,"계란형큰,망사+,망사눈-","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
13,14,1,거버넌스,한,암,4세,55,,먼로,박병일,김정철,5,453(1),53.5,11.2,"계란형큰+,망사눈+,반가지큰-","2021년 03월 14일 (일) 제5경주 서울 제 9일 맑음 건조 4% 13:00
국6등급 1400M 별정A 일반 R0~0 연령오픈 암"
