,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,2,알파독,한,거,4세,57,,안토니오,박대흥,우순근,,504(-11),2.5,1.7,"계란형큰, 망사눈","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
1,2,14,드림패션,한,수,4세,57,,김동수,박병일,드림커뮤니티,5,483(-6),4.5,1.6,,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
2,3,10,퀸즈투어,한,암,3세,55,,조상범,임봉춘,안희철,코,459(-1),4.3,2.2,망사,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
3,4,7,케이블레이드,한,암,3세,51,,(-4)김아현,토니,♠김형란,3,469(-2),175.8,20.5,"계란형큰,망사눈+,혀끈+,망사-","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
4,5,11,금성차밍,한,수,4세,57,,황순도,박재우,조창규,4,525(1),12.4,1.9,,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
5,6,8,어메이징퀸,한,암,4세,55,,박태종,김점오,♠이성인,½,475(1),7.5,1.9,망사,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
6,7,9,스피어건,한,수,3세,57,,박상우,유재길,김영완,5,468(-1),11.6,3.7,,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
7,8,5,소중한기억,한,거,3세,57,,조한별,배휴준,♠이성님,1,482(-3),35.4,10.1,망사눈,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
8,9,4,베가킹,한,수,4세,57,,김효정,배대선,김정두,1,430(-7),85.5,12.9,망사,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
9,10,13,으뜸이루리,한,수,5세,57,,박병윤,박천서,윤훈현,¾,486(14),577.0,26.5,"반가지큰, 눈가면","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
10,11,12,호크아리랑,한,암,5세,55,,먼로,최봉주,♠코리아호스랜드,2½,491(1),577.0,19.2,"망사눈, Triabit","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
11,12,6,독도사랑,한,암,4세,55,,이강서,송문길,황영금,1½,519(-5),167.8,37.5,,"2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
12,13,1,퍼지퀸,한,암,3세,55,,문세영,조현수,김욱수,2,481(6),23.1,2.6,"망사,승인편자+","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
13,14,3,럭키바우,한,거,3세,57,,이용호,임채덕,♠김성래,11,459(-7),230.8,50.5,"망사눈, 혀끈, Triabit","2021년 04월 18일 (일) 제3경주 서울 제 17일 맑음 양호 9% 11:40
국6등급 1400M 별정A 일반 R0~0 연령오픈"
