,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,2,라온더파이터,한,수,3세,57.5,49,이혁,박종곤,♠라온산업개발(주),,477(-1),1.2,1.2,망사눈,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
1,2,4,라피도아레스,한,암,4세,*52,41,유승완,송문길,허장원,10,545(5),35.3,3.5,"반가지큰, 망사눈","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
2,3,12,천지여걸,한,암,4세,54,46,함완식,김동균,최임규,4,486(10),15.1,2.1,"계란형큰, 망사눈","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
3,4,11,전정사금,한,암,4세,51.5,41,임기원,이관호,박재범,½,515(-6),30.8,3.8,"반가지큰,망사눈-","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
4,5,6,비평,한,수,5세,57,48,윤태혁,송문길,씨유네트워크,3,503(6),46.0,3.1,,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
5,6,7,스트롱퀸,한,암,4세,52,42,박태종,서홍수,곽영숙,머리,522(5),21.4,3.6,"계란형큰, 망사눈","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
6,7,13,스토미,한,수,6세,53.5,41,문성혁,서인석,허훈,코,503(-3),471.3,29.3,"계란형큰, 망사눈","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
7,8,5,교룡득수,한,수,4세,53,40,조상범,지용철,♠(주)디알엠씨티,¾,513(-2),54.1,5.6,"계란형큰, 망사눈","2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
8,9,3,레이디켈리,한,암,4세,53.5,45,송재철,안해양,♠(주)인펨,½,516(-2),26.3,5.3,망사눈,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
9,10,10,더드림,한,거,4세,52.5,39,이준철,김대근,♠고광숙,목,484(3),7.8,2.0,,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
10,11,14,탑뮤직,한,거,5세,53,40,방춘식,서홍수,윤훈열,½,467(1),85.1,9.3,망사눈,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
11,12,1,이스트챔프,한,수,4세,53,40,장추열,정호익,김영구,목,459(-2),121.7,9.4,눈가면,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
12,13,9,킹오브선데이,한,수,5세,51,36,김용근,배휴준,양현모,목,485(-12),101.6,10.4,망사눈,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
13,14,8,타우러스,한,수,6세,56,46,안효리,박병일,♠한명로,5,506(6),301.3,26.3,,"2021년 04월 18일 (일) 제7경주 서울 제 17일 맑음 양호 8% 15:40
국4등급 1400M 핸디캡 일반 R1~50 연령오픈"
