,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,9,세명햇살,한,암,3세,54.5,,조한별,서정하,이기철,,465(9),4.2,1.7,,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
1,2,8,신데렐라,한,암,4세,55,,이철경,서홍수,이본희,머리,427(-5),82.5,18.8,망사눈,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
2,3,7,사랑다모아,한,암,3세,54.5,,이혁,손영표,박흥길,1¾,478(-1),15.8,4.2,,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
3,4,12,히트에이스,한,암,3세,54.5,,이용호,이관호,정승희,코,477(6),32.1,5.9,망사,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
4,5,5,제이이글,한,암,3세,54.5,,김정준,송문길,허장원,2,419(-4),7.7,2.4,,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
5,6,11,보리보리,한,암,3세,54.5,,하정훈,임봉춘,피닉스,코,401(-9),133.1,17.8,눈가면,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
6,7,4,실버햄튼,한,암,3세,54.5,,안토니오,박대흥,김경민,½,486(36),10.4,3.7,"망사눈+,망사-","2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
7,8,14,깡돌이,한,암,3세,54.5,,방춘식,지용철,김영진,1¾,420(3),6.9,3.5,망사눈,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
8,9,10,삼애락,한,암,4세,55,,김효정,배대선,박세용,1¼,459(5),12.6,2.8,망사,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
9,10,2,하이브,한,암,4세,55,,신형철,이희영,(주)늘푸른목장,½,440(-7),3.6,1.4,,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
10,11,13,베스퍼,한,암,3세,54.5,,김동수,강성오,♠박호균,2½,486(5),6.4,2.2,,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
11,12,1,모던프라이드,한,암,3세,54.5,,박현우,김동균,최현기,7,453(12),150.3,21.0,"계란형큰, 망사눈","2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
12,13,3,큐피드여장부,한,암,3세,54.5,,박을운,이신영,♠서순배,24,456(6),104.2,14.7,망사눈,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
13,,6,슈퍼제나이,한,암,3세,53.5,,(-1)문성혁,서인석,이용대,출전제외,455(2),----,----,망사눈,"2021년 03월 14일 (일) 제3경주 서울 제 9일 흐림 건조 4% 11:38
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
