,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,14,발베니,미,수,3세,55.5,45,안토니오,최용구,♠강무웅,,495(3),3.3,1.9,"반가지큰, 눈가면","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
1,2,6,터프맨,한,수,3세,52.5,39,장추열,정호익,♠김광명,11,518(-4),3.0,1.4,망사눈,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
2,3,11,노던타임,미,거,3세,52,38,문성혁,서인석,최상기,2½,494(-2),9.6,3.6,계란형큰,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
3,4,9,나는스타,미,암,4세,54,46,박을운,김동균,길용우,½,436(13),270.6,24.6,망사눈,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
4,5,10,카일룸제왕,미,거,4세,*52,36,박현우,최용구,강태구,2,492(3),559.2,17.1,"계란형큰, 망사눈, 혀끈","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
5,6,8,사려니위너,미,암,4세,53,44,임기원,구자흥,♠오영익,1¼,480(7),14.5,4.5,"반가지큰+, 망사눈","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
6,7,4,올댓코리아,미,거,5세,58,50,김용근,안해양,임두인,½,520(6),3.9,1.0,망사,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
7,8,3,도깨비,미,거,3세,52,38,송재철,조현수,피닉스,5,489(2),18.6,4.8,"계란형큰,망사눈+","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
8,9,13,에치드프라임,미,거,4세,*52,37,이동국,조현수,♠김종진,1¾,504(7),762.6,26.5,,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
9,10,1,축복의약속,미,거,4세,52,38,정정희,안병기,신승열,2½,539(-3),279.6,17.6,반가지큰+,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
10,11,5,문학서브,미,거,4세,53,40,함완식,홍대유,김재영a,1,514(-1),67.1,5.4,망사눈,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
11,12,2,남촌데이,미,거,5세,55,44,박상우,박대흥,남승현,3,470(-19),58.9,9.9,"계란형큰,혀끈-,눈가면-","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
12,13,7,선붐,미,수,4세,57.5,49,다비드,서범석,이신근,1¾,492(-2),12.2,3.9,계란형큰,"2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
13,14,12,빅토리맵,미,거,4세,*52,36,이기회,김동균,이연수,17,468(-5),207.1,20.4,"계란형큰, 망사눈","2021년 05월 15일 (토) 제5경주 서울 제 24일 비 포화 15% 15:20
혼4등급 1400M 핸디캡 일반 R1~50 연령오픈"
