,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,4,로열로드,한,수,3세,54.5,30,김용근,안병기,손병현,,510(3),3.9,1.4,"계란형큰, 망사눈","2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
1,2,5,대한질주,한,수,3세,54,29,박을운,김동철,박재범,1¾,500(7),5.3,2.2,승인편자+,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
2,3,6,스트리트강자,한,거,4세,55,31,문세영,박대흥,남승현,1,498(-1),3.1,1.3,"눈가면,계란형큰-","2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
3,4,10,청산가세,한,거,4세,55,31,문정균,지용철,김종식,3,468(2),10.1,2.7,망사눈,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
4,5,2,조이브라더,한,거,4세,56.5,34,빅투아르,김점오,♠이성인,3,468(6),6.6,2.4,"계란형큰, 망사눈","2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
5,6,3,클린업트리오,한,거,5세,56,33,안토니오,강성오,씨유네트워크,1½,505(7),152.7,18.5,계란형큰,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
6,7,1,더킹클래스,한,거,4세,53,27,김귀배,안해양,임정균,¾,466(-3),74.2,17.3,망사눈,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
7,8,9,샌드파워,한,수,4세,53.5,28,함완식,최상식,강석대,6,508(0),7.5,1.6,,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
8,9,8,당대로얄,한,암,5세,*52,25,이용호,토니,김광두,3,430(-2),47.5,5.4,"계란형큰,눈가면+,망사눈-,혀끈-","2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
9,10,7,백상,한,거,5세,53.5,28,김동수,전승규,♠김광명,6,466(-7),20.6,9.0,Triabit,"2021년 04월 11일 (일) 제6경주 서울 제 15일 맑음 양호 6% 14:45
국5등급 1400M 핸디캡 일반 R1~35 연령오픈"
