,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,12,선더윈드,한,수,4세,57,35,안토니오,리카디,조건진,,545(7),6.1,1.6,망사눈,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
1,2,9,선파이팅,한,암,4세,51,26,다비드,서범석,이신근,2½,472(-5),19.0,8.3,계란형큰,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
2,3,1,러피언파크,한,거,4세,52.5,26,이혁,김동철,박종율,1¾,472(2),23.7,7.9,"망사눈, 혀끈","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
3,4,3,티케파이어,한,수,4세,56.5,34,김용근,최영주,손병현,3,503(4),20.5,3.5,망사눈,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
4,5,5,청산강호,한,수,3세,55,31,함완식,이관호,황은호,머리,511(13),23.1,16.7,"계란형큰, 망사","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
5,6,4,일보등천,한,수,4세,54.5,30,먼로,안병기,♠김기종,머리,515(-5),9.2,2.0,"계란형큰, 망사눈","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
6,7,7,대싱카누,한,암,5세,53,31,조한별,유재길,박정열,목,506(1),58.4,11.1,망사,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
7,8,2,베스트탑,한,수,4세,55,31,송재철,이희영,베스트샤인조합,2½,480(-11),7.4,1.8,"망사, 승인편자","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
8,9,11,스타블레이드,한,수,3세,55.5,32,최범현,토니,♠김형란,1½,490(2),3.3,1.5,"계란형큰, 혀끈,눈가면+,망사눈-","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
9,10,8,청산가세,한,거,4세,51,31,(-4)김아현,지용철,김종식,½,477(9),11.2,3.8,망사눈,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
10,11,10,경부도령,한,수,4세,53.5,28,박상우,유재길,허건호,1¾,466(3),42.8,8.5,,"2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
11,12,6,금성에이스,한,암,4세,54,33,문성혁,서인석,조창규,64,504(8),4.6,2.9,"계란형큰, 망사눈","2021년 05월 09일 (일) 제9경주 서울 제 23일 맑음 다습 10% 17:30
국5등급 1700M 핸디캡 일반 R1~35 연령오픈"
