,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,10,럭키법전,한,수,4세,52,53,이용호,박재우,최기영,,519(0),12.0,5.1,망사눈,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
1,2,6,정조의꿈,한,거,5세,57.5,64,김용근,강성오,♠이관형,머리,456(-5),12.0,5.1,"계란형큰, 눈가면","2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
2,3,5,장산플라이,한,거,5세,52,55,(-1)문성혁,서인석,♠김형란,2½,474(-2),12.0,5.1,"계란형큰, 망사눈","2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
3,4,4,미르스톰,한,거,5세,52,61,(-4)김아현,김동철,♠이월희,¾,461(-2),6.0,5.1,망사눈,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
4,5,3,서클댄서,한,암,7세,54.5,62,송재철,최봉주,이수행,목,469(13),12.0,5.1,망사눈,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
5,6,8,컴플리트캡틴,한,수,4세,54.5,58,임기원,박재우,♠장석영,½,528(5),6.0,2.5,눈가면,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
6,7,9,메니챔프,한,수,4세,53.5,55,신형철,안병기,♠조명식,2½,456(-7),6.0,2.5,계란형큰,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
7,8,2,이스트킹덤,한,수,6세,55,65,(-3)임다빈,정호익,김영구,½,523(0),12.0,1.0,망사,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
8,9,12,연희일출,한,암,4세,*52,53,조한별,김대근,최병권,1½,448(0),12.0,5.1,눈가면,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
9,10,11,트라이선더,한,거,5세,58,65,이혁,박종곤,이웅열,1¼,476(-7),12.0,5.1,"망사눈, 승인편자","2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
10,11,1,구름손짓해,한,거,6세,53,55,조상범,안병기,김제영,4,481(4),12.0,5.1,계란형큰,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
11,12,7,리빙스턴,한,수,6세,52.5,54,이기회,김동균,최임규,3,493(6),12.0,5.1,망사눈,"2021년 01월 08일 (금) 제9경주 서울 제 1일 맑음 양호 9% 14:05
국3등급 1200M 핸디캡 일반 R1~65 연령오픈"
