,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,10,강토마,한,거,6세,57.5,110,장추열,정호익,♠김광명,,498(1),4.0,9999.9,망사눈,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
1,2,2,릴패트론,미,거,5세,*52,90,먼로,서인석,고재완,¾,485(15),9999.9,9999.9,계란형큰,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
2,3,12,문학타이거,미,수,5세,51,93,임기원,박재우,황봉기,1¼,520(3),4.0,9999.9,반가지큰,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
3,4,7,플래티넘유로,한,거,5세,51,83,이현종,최용건,박성구,코,534(11),4.0,9999.9,"계란형큰, 망사눈","2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
4,5,4,심장의고동,한,수,5세,*52,94,김정준,지용철,♠오종환,1¾,519(12),4.0,9999.9,계란형큰,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
5,6,3,장산카우보이,미,거,8세,51,96,조한별,리카디,♠삼정,½,494(7),9999.9,9999.9,"망사, 혀끈","2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
6,7,6,메디치글로리,미,수,5세,*52,84,유승완,송문길,(주)나스카,1¾,526(10),9999.9,9999.9,,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
7,8,11,흑전사,한,수,5세,*52,94,박현우,김동균,김창희,머리,501(12),9999.9,9999.9,망사눈,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
8,9,9,커버걸저스티스,미,암,5세,51,83,박태종,박재우,이미양,1¼,485(7),9999.9,9999.9,망사,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
9,10,1,오케이퀸,한,암,6세,*52,83,이용호,송문길,박복용,6,478(10),9999.9,9999.9,망사눈,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
10,11,8,슈퍼플루이드,미,수,5세,*52,91,다비드,서정하,♠오종택,1,526(7),4.0,9999.9,반가지큰,"2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
11,12,5,이스트팔로스,미,수,6세,55,107,(-1)문성혁,서인석,김영구,9,484(-6),9999.9,9999.9,"계란형큰, 눈가면","2021년 01월 08일 (금) 제14경주 서울 제 1일 맑음 양호 9% 16:20
1등급 1800M 핸디캡 일반 R1~115 연령오픈"
