id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
0,1,11,바이스로이,한,거,3세,56,이혁,임봉춘,김진태a,463,2.6,1.4,망사,1-   -   - 1- 1- 1- 1,00:13.4,  ,  ,00:24.2,00:36.2,00:42.4,  ,01:13.3,2021년05월16일(일),비,불량,국6등급,1200M
1,2,12,탑퀄리티,한,거,3세,56,박태종,박종곤,김정철,473,2,1,망사눈,3-   -   - 2- 2- 2- 2,00:13.5,  ,  ,00:24.3,00:36.3,00:42.5,  ,01:14.2,2021년05월16일(일),비,불량,국6등급,1200M
2,3,8,유정챔프,한,수,3세,56,이철경,서인석,이성님,483,30.6,5.2,계란형큰,5-   -   - 5- 5- 4- 3,00:14.0,  ,  ,00:25.2,00:37.2,00:43.3,  ,01:14.7,2021년05월16일(일),비,불량,국6등급,1200M
3,4,10,방탄여걸,한,암,3세,54,하정훈,이관호,김태권,423,13.1,5,"계란형큰, 망사",9-   -   - 7- 6- 6- 6,00:14.2,  ,  ,00:25.3,00:37.4,00:43.6,  ,01:15.2,2021년05월16일(일),비,불량,국6등급,1200M
4,5,6,로열영광,한,수,3세,56,문성혁,박병일,이장호,458,19.8,1.2,"계란형큰, 망사눈",8-   -   - 8- 8- 8- 7,00:14.2,  ,  ,00:25.5,00:37.6,00:43.9,  ,01:15.4,2021년05월16일(일),비,불량,국6등급,1200M
5,6,1,어드밴스,한,암,4세,50,김아현,최봉주,정승희,433,6.1,1.6,망사눈,4-   -   - 4- 4- 5- 5,00:13.7,  ,  ,00:24.9,00:37.2,00:43.4,  ,01:15.4,2021년05월16일(일),비,불량,국6등급,1200M
6,7,4,위닝메이커,한,암,3세,52,임다빈,조현수,김갑수,475,59.3,11.3,"계란형큰, 망사",2-   -   - 3- 3- 3- 4,00:13.5,  ,  ,00:24.7,00:36.7,00:42.9,  ,01:16.5,2021년05월16일(일),비,불량,국6등급,1200M
7,8,5,텐스타,한,암,3세,54,부민호,김동철,김선식,447,553.1,31.7,망사눈-,7-   -   - 6- 7- 7- 8,00:14.2,  ,  ,00:25.3,00:37.5,00:43.7,  ,01:16.9,2021년05월16일(일),비,불량,국6등급,1200M
8,9,2,디바인파워,한,수,4세,56,우에다,손영표,류재욱,481,148.2,20.1,망사눈,10-   -   - 10- 10- 10- 9,00:14.4,  ,  ,00:25.8,00:38.0,00:44.2,  ,01:17.1,2021년05월16일(일),비,불량,국6등급,1200M
9,10,3,슈퍼파크,한,암,4세,54,정정희,배휴준,이성재,461,414.8,29.5,"망사,계란형큰-",6-   -   - 9- 9- 9- 10,00:14.2,  ,  ,00:25.6,00:37.8,00:44.1,  ,01:17.8,2021년05월16일(일),비,불량,국6등급,1200M
10,11,9,금아임패커블,한,거,5세,56,김효정,배대선,금아산업(주),513,127.6,31.7,망사눈,11-   -   - 11- 11- 11- 11,00:14.4,  ,  ,00:26.1,00:38.7,00:45.1,  ,01:19.9,2021년05월16일(일),비,불량,국6등급,1200M
11,1,13,개나리송,한,거,5세,52,조상범,박대흥,김원숙,519,29.7,3.4,망사,2-   -   - 2- 2- 1- 2,00:13.3,  ,  ,00:23.9,00:35.5,00:41.4,  ,01:12.2,2021년05월16일(일),비,불량,1등급,1200M
