,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,14,치프인디,한,수,3세,56,44,문세영,박대흥,♠박남성,,510(2),1.6,1.2,망사,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
1,2,8,콰이어트아델,한,암,4세,56,49,신형철,송문길,이종훈,1,492(5),5.8,1.6,"반가지큰, 망사눈","2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
2,3,6,정상만세,한,수,7세,56,42,김옥성,박희철,♠정동진,1¼,512(-6),208.2,15.6,"계란형큰, 망사눈","2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
3,4,7,이글아이,한,암,5세,55,47,먼로,이신영,지앤지프로덕션,머리,484(5),57.4,2.9,망사눈,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
4,5,13,라온돌풍,한,거,6세,54,48,(-4)김아현,박종곤,♠라온건설,½,484(1),14.8,7.2,망사눈,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
5,6,10,금아슈프림,한,거,5세,56,44,김용근,박천서,♠금아산업(주),목,468(0),51.6,2.7,"반가지큰+, 망사눈, 혀끈","2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
6,7,5,스트롱캡틴,한,거,6세,55,41,이동국,서범석,이성헌,4,454(-7),150.6,68.6,계란형큰,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
7,8,1,원더풀플레저,한,암,4세,52,38,빅투아르,서홍수,♠지대섭,1½,490(7),9.0,2.3,망사눈,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
8,9,12,에이스샤인,한,거,5세,54,36,다비드,토니,김광두,목,508(4),301.1,15.2,계란형큰,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
9,10,2,티케이데이,한,암,4세,54,44,장추열,김동철,♠김태권,1½,512(-5),52.3,6.7,"반가지큰, 망사눈","2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
10,11,4,제주의요정,한,암,5세,52,36,박태종,최봉주,♠미즈타니 마사테루,1¼,461(-17),6.0,2.4,계란형큰-,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
11,12,9,비르투스,한,암,5세,54,44,박병윤,홍대유,양경필,4,517(10),121.6,8.4,눈가면,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
12,13,3,머니실크,한,수,4세,55,40,김효정,배대선,이광수a,2½,489(1),47.2,6.1,"망사눈,계란형큰-","2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
13,,11,한센바로우즈,한,수,6세,54,36,우에다,서인석,♠이노쿠마 히로츠구,출전제외,0(0),----,----,양털코,"2021년 04월 25일 (일) 제8경주 서울 제 19일 맑음 건조 4% 16:35
국4등급 1800M 별정B 일반 R1~50 연령오픈"
