,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,4,러닝킹,한,수,3세,57,,문세영,지용철,♠오종환,,506(3),4.2,1.2,"계란형큰, 망사","2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
1,2,1,대천얼짱,한,수,3세,57,,빅투아르,최봉주,김경민,½,510(15),3.7,1.5,"계란형큰+, 망사눈","2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
2,3,3,뉴호프,한,암,3세,55,,박태종,최봉주,♠오상철,4,474(12),3.8,1.5,계란형큰,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
3,4,6,바이스로이,한,거,3세,57,,이혁,임봉춘,김진태a,¾,473(-8),6.2,1.5,망사,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
4,5,13,플라잉인디,한,수,3세,57,,이용호,임채덕,♠김형순,5,479(11),137.7,57.6,"망사눈, Triabit","2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
5,6,8,일격필살,한,수,3세,57,,안토니오,강성오,♠김창식,2½,480(1),12.4,3.8,계란형큰-,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
6,7,14,모닝뉴스,한,암,3세,55,,조상범,최용건,(주)나스카,머리,456(-13),49.0,15.2,"계란형큰, 망사","2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
7,8,11,라온가람,한,암,3세,55,,최범현,박종곤,♠라온건설,목,464(7),14.9,7.9,,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
8,9,2,넘버원타깃,한,암,4세,55,,김귀배,이희영,♠태립,¾,492(-10),27.3,12.9,망사,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
9,10,7,퀸라이언,한,암,4세,55,,이철경,조현수,♠신우철,2½,435(-15),46.7,19.0,"계란형큰, 망사눈","2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
10,11,12,매직만점,한,거,4세,57,,다비드,손영표,김창희,1,468(2),218.2,78.3,,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
11,12,9,사려니,한,거,4세,54,,(-3)임다빈,박희철,♠오영익,6,512(-9),27.0,8.2,계란형큰,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
12,13,5,빅터웨이,한,암,3세,51,,(-4)김아현,곽영효,김용재,1½,428(7),88.9,50.9,,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
13,14,10,킹엔젤마리아,한,거,3세,57,,김옥성,김동철,♠이월희,6,483(5),29.7,7.2,망사눈,"2021년 04월 11일 (일) 제1경주 서울 제 15일 맑음 양호 6% 10:45
국6등급 1200M 별정A 일반 R0~0 연령오픈"
