,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,7,글로벌선,한,암,4세,52.5,30,다비드,최상식,♠장재형,,456(-5),10.4,3.5,"망사, 혀끈","2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
1,2,1,퍼펙트파워,한,거,4세,55,31,신형철,최상식,지성한,1,505(6),10.4,3.5,"망사눈, 혀끈","2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
2,3,10,블랙실버,한,암,4세,53.5,32,이철경,서인석,홍상기,¾,446(1),5.2,1.7,계란형큰,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
3,4,4,드림걸스,한,암,4세,52.5,30,박태종,우창구,드림커뮤니티,1¼,426(3),10.4,3.5,Triabit,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
4,5,5,배다리캔디,한,암,3세,52,30,먼로,홍대유,♠송한우,2,455(-8),10.4,3.5,망사+,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
5,6,8,라온블러드,한,암,4세,54.5,34,임기원,안병기,♠라온건설,목,474(-6),10.4,3.5,망사눈,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
6,7,2,아테나브이,한,암,5세,52,29,유승완,송문길,허장원,머리,530(0),10.4,3.5,반가지큰,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
7,8,11,캡틴브라보,한,거,4세,54.5,30,송재철,곽영효,♠김용래,목,435(2),10.4,3.5,"계란형큰, 망사눈","2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
8,9,3,해피삭스,한,암,3세,51,30,(-4)김아현,강환민,♠김창식,4,471(0),10.4,3.5,"계란형큰+, 망사눈","2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
9,10,9,커리어하이,한,암,4세,52.5,30,김동수,강성오,고양진,머리,463(-9),10.4,3.5,"계란형큰, 망사","2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
10,11,6,피케이돌풍,한,거,4세,57,35,김정준,심승태,♠김태성,3,492(13),10.4,3.5,망사,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
11,12,12,정성스타,한,암,4세,54.5,34,김귀배,안해양,임정균,16,488(33),10.4,3.5,,"2021년 01월 08일 (금) 제7경주 서울 제 1일 맑음 양호 9% 13:10
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
