,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,2,퀸오브베스트,한,암,3세,54.5,,함완식,김동균,♠신우철,,451(5),7.7,4.2,망사눈,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
1,2,14,루비콘,한,암,3세,54.5,,박현우,홍대유,최동근,¾,487(-13),7.9,2.6,"계란형큰-,망사눈-","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
2,3,13,케이프렌지,한,거,3세,56.5,,임기원,박윤규,김영선,¾,502(-3),3.5,1.6,망사눈,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
3,4,12,올드스페셜,한,수,3세,56.5,,송재철,박재우,이진경,2½,475(0),3.7,1.8,"망사+,망사눈-","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
4,5,9,대세만세,한,암,3세,51.5,,(-3)임다빈,박희철,신영식,3,495(1),54.7,5.6,"계란형큰, 망사눈","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
5,6,8,원더풀니키야,한,암,4세,55,,문정균,최봉주,♠지대섭,머리,461(4),61.7,19.6,"계란형큰, 망사눈","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
6,7,10,스피어건,한,수,3세,56.5,,이혁,유재길,김영완,½,469(-13),45.4,3.9,,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
7,8,7,마이더스캠프,한,수,3세,56.5,,이용호,서인석,이유환,1½,441(4),110.8,16.5,"계란형큰, 눈가면","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
8,9,5,온리위너,한,암,4세,55,,김정준,송문길,손병철,2½,436(-5),3.5,1.4,,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
9,10,6,찬기참,한,암,3세,54.5,,김용근,강성오,김세민,코,443(2),69.4,5.7,"반가지큰, 망사눈","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
10,11,11,럭키밸리,한,암,3세,54.5,,하정훈,구자흥,정찬헌,2,506(-7),218.0,46.4,"눈가면,계란형큰-","2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
11,12,4,빅리치,한,거,3세,56.5,,조한별,배휴준,김진철,목,481(6),186.7,17.9,망사눈,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
12,13,1,새남의별,한,수,4세,53,,(-4)김아현,김동철,♠김선식,4,489(16),19.4,2.8,망사,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
13,14,3,천둥기세,한,수,4세,57,,김효정,배대선,♠(주)디알엠씨티,17,504(1),307.9,15.2,망사,"2021년 03월 28일 (일) 제6경주 서울 제 11일 흐림 포화 18% 13:30
국6등급 1300M 별정A 일반 R0~0 연령오픈"
