,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,3,최고캠프,한,암,4세,53.5,32,빅투아르,리카디,♠함춘,,494(4),3.6,1.1,망사눈-,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
1,2,9,기븐러너,한,수,5세,56,33,정정희,안병기,박정웅,2½,470(3),37.9,3.9,망사눈,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
2,3,13,스페셜스토리,한,암,4세,*52,24,김동수,박희철,이효선,1¾,459(-4),45.0,8.6,눈가면,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
3,4,2,파크윈,한,수,4세,55,31,이혁,이희영,드림조합,½,481(-6),2.8,1.6,망사,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
4,5,11,배다리캔디,한,암,3세,*52,28,박현우,홍대유,♠송한우,¾,461(0),39.6,6.4,망사,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
5,6,4,마칼루파워,한,수,4세,52.5,26,문성혁,서홍수,김세민,코,459(-4),10.7,3.1,망사,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
6,7,7,회두령,한,수,3세,55,31,안토니오,박재우,권태석,1,491(6),3.4,1.9,망사,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
7,8,6,천총,한,수,4세,54.5,30,최범현,최봉주,조금제,3,482(8),17.6,2.9,망사눈,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
8,9,10,투엠오케이,한,거,6세,52.5,26,김효정,최봉주,♠미즈타니 마사테루,1½,446(-5),207.2,17.3,계란형큰,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
9,10,1,디케이마루,미,수,4세,53,35,(-4)김아현,구자흥,표종진,1,443(-4),481.6,10.0,"망사, 반가지큰","2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
10,11,12,원더풀매직,한,수,4세,54.5,30,이철경,서인석,♠(주)녹원목장,2,486(2),21.4,4.2,"계란형큰, 눈가면","2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
11,12,8,금아인빈서블,한,거,5세,53.5,28,박태종,우창구,♠금아산업(주),¾,485(-21),78.8,12.0,망사눈,"2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
12,13,5,안양재규어,한,암,5세,53,31,권석원,구자흥,(주)에이에프피,5,433(0),38.7,48.2,"반가지큰,승인편자-","2021년 05월 08일 (토) 제5경주 서울 제 22일 맑음 다습 11% 15:20
국5등급 1200M 핸디캡 일반 R1~35 연령오픈"
