,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,4,스마트핑크,한,암,3세,54.5,,이혁,김동철,♠오종환,,455(3),9999.9,9999.9,망사,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
1,2,9,아담스애플,한,암,3세,54.5,,이용호,박재우,서창식,3,495(-3),9999.9,9999.9,망사눈,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
2,3,8,빅토리카,한,암,3세,54.5,,박을운,안해양,김한수,4,463(3),3.7,1.0,계란형큰-,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
3,4,5,큐피드원더,한,암,3세,54.5,,지하주,이희영,♠서순배,¾,454(-4),9999.9,9999.9,망사눈,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
4,5,6,로즈데이마린,한,암,4세,55,,장추열,홍대유,♠이경희,1,444(-7),9999.9,9999.9,,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
5,6,1,글로리칸,한,암,3세,51.5,,(-3)임다빈,정호익,정범성,2½,487(4),9999.9,9999.9,망사눈,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
6,7,2,하니,한,암,3세,54.5,,신형철,임채덕,황혜정,3,437(-12),9999.9,9999.9,"계란형큰, 망사눈, 승인편자","2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
7,8,11,엠제이퀸,한,암,3세,54.5,,박현우,김동균,♠박정재,머리,487(6),9999.9,9999.9,"계란형큰+, 망사눈","2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
8,9,7,고속대박,한,암,3세,54.5,,이기회,최영주,손병철,1¼,443(3),9999.9,9999.9,,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
9,10,12,컴플리트챔프,한,암,3세,54.5,,임기원,조현수,♠장세준,1¾,500(3),1.0,1.0,승인편자,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
10,11,10,크라운조이,한,암,3세,54.5,,이현종,배대선,이미경,500,469(-1),9999.9,9999.9,,"2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
11,12,3,해피드림,한,암,3세,54.5,,다비드,이관호,황은호,3,434(-13),9999.9,9999.9,"계란형큰, 망사","2021년 01월 08일 (금) 제3경주 서울 제 1일 맑음 양호 9% 10:55
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
