,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,9,사만다치타,한,암,3세,53.5,31,빅투아르,박병일,♠이관형,,482(14),6.1,2.9,"계란형큰, 망사눈,혀끈+","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
1,2,12,이스트임팩트,한,거,3세,56,32,안토니오,박재우,김영구,5,452(1),2.4,1.0,망사,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
2,3,8,산뜻한스침,한,암,4세,55,34,문세영,안병기,♠우태율,1¼,477(0),3.4,1.6,"계란형큰, 망사눈","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
3,4,1,논스톱캣,한,암,3세,53.5,31,이혁,서범석,♠태립,¾,452(0),11.9,2.5,,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
4,5,5,록라인,한,수,4세,56.5,33,함완식,최영주,소태영,목,496(-1),9.4,3.8,망사눈-,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
5,6,4,위너블루,한,거,4세,55,30,신형철,우창구,전영범,코,483(6),14.4,3.8,"망사눈, Triabit","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
6,7,10,굿원더,한,암,5세,53.5,31,우에다,신삼영,♠오종환,1¼,503(3),52.6,5.9,망사+,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
7,8,11,뇌성벽력,한,거,5세,52,24,이철경,서인석,홍상기,1,491(-7),75.7,10.3,"계란형큰, 눈가면","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
8,9,2,와일드우즈,한,거,4세,53.5,27,박현우,최용구,최동근,3,489(0),50.0,3.6,망사눈,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
9,10,3,왕인행차,한,수,4세,54,28,방춘식,서홍수,전영규,4,489(9),32.2,7.6,"계란형큰, 망사눈","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
10,11,7,방주,한,거,4세,55,30,조한별,박윤규,♠오종환,1¼,515(-6),53.0,6.1,눈가면,"2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
11,12,6,럭키플랜,한,암,4세,*52,27,문정균,이희영,김재영a,목,461(-4),138.4,21.0,"망사, 반가지큰","2021년 05월 02일 (일) 제8경주 서울 제 21일 맑음 포화 16% 16:35
국5등급 1300M 핸디캡 일반 R1~35 연령오픈"
