,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,added_feature
0,1,5,천마투데이,한,암,3세,54,,장추열,배대선,♠박웅진,,442(-2),1.8,1.1,망사,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
1,2,7,매직레코드,한,암,3세,54,,빅투아르,리카디,남기태,4,486(6),2.3,1.0,,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
2,3,1,샤인뮤직,한,암,4세,54,,하정훈,심승태,♠김용래,3,450(16),32.3,5.7,눈가면,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
3,4,9,원더풀데블,한,암,3세,54,,임기원,서홍수,♠(주)녹원목장,½,481(-8),200.3,11.1,,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
4,5,11,원더풀니키야,한,암,4세,54,,최범현,최봉주,♠지대섭,1½,458(-2),24.7,5.1,"계란형큰, 망사눈","2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
5,6,10,은혜파도,한,암,4세,54,,부민호,김동철,강태구,½,440(-1),25.3,11.1,망사,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
6,7,8,글로벌천사,한,암,3세,54,,이혁,최상식,♠장재형,½,465(-2),25.9,5.4,망사,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
7,8,3,런투골,한,암,3세,54,,함완식,강성오,씨유네트워크,½,442(4),33.2,7.3,망사눈,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
8,9,2,금국화,한,암,3세,54,,이현종,우창구,배태곤,머리,462(2),18.5,2.5,"망사눈, Triabit","2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
9,10,4,아쿠아펀치,한,암,3세,54,,정정희,최용건,구인택,2½,523(-10),32.3,2.1,계란형큰,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
10,11,6,히트하트,한,암,4세,54,,이강서,박천서,정승희,3,466(7),520.7,17.2,망사눈,"2021년 05월 01일 (토) 제1경주 서울 제 20일 맑음 포화 19% 11:00
국6등급 1200M 별정A 일반 R0~0 연령오픈 암"
